Height;Volume
0;0
16;41
31;96
47;158
62;228
79;306
95;391
110;484
126;583
142;689
157;801
173;919
189;1042
204;1172
220;1305
236;1445
252;1589
268;1737
283;1890
299;2046
314;2206
330;2371
346;2539
361;2710
377;2884
394;3061
409;3208
425;3388
441;3571
456;3756
472;3943
487;4132
503;4325
519;4518
534;4713
551;4910
566;5109
582;5310
598;5512
613;5716
629;5922
645;6127
660;6335
676;6544
692;6754
708;6965
724;7178
739;7391
755;7604
771;7820
786;8036
802;8253
817;8470
833;8688
849;8907
865;9126
881;9345
897;9565
912;9787
928;10007
944;10229
959;10450
975;10671
990;10894
1006;11115
1023;11337
1038;11560
1054;11781
1069;12003
1085;12224
1101;12446
1116;12668
1132;12888
1148;13108
1163;13329
1180;13548
1196;13767
1211;13986
1227;14203
1242;14420
1258;14637
1274;14852
1289;15066
1305;15281
1320;15492
1337;15704
1353;15915
1368;16123
1384;16331
1400;16538
1415;16742
1431;16946
1447;17148
1462;17349
1478;17548
1494;17746
1510;17941
1526;18134
1541;18326
1557;18516
1572;18703
1588;18888
1604;19071
1619;19252
1635;19431
1652;21091
1667;21317
1683;21544
1699;21769
1714;21993
1730;22216
1745;22438
1761;22659
1777;22879
1792;23097
1809;23314
1824;23530
1840;23744
1856;23958
1871;24169
1887;24379
1903;24587
1918;24794
1934;24998
1950;25201
1966;25401
1982;25598
1997;25793
2013;25986
2029;26176
2044;26363
2060;26545
2075;26725
2091;26900
2107;27070
2123;27237
2139;27397
2155;27553
2170;27704
2186;27847
2202;27986
2217;28117
2233;28243
2248;28362
2264;28476
2281;28585
2296;28689
2312;28790
2327;28888
2343;28982
2359;29077
2374;29171
2390;29267
2406;29363
2421;29463
2438;29564
2454;29668
2469;29775
2485;29886
2500;30000
